# Logfile created on 2026-05-25 19:30:15 +0200 by logger.rb/v1.4.3
2026-05-25 19:30:15 +0200: Memory Usage (431184K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/Delta-sigma-adc/gds/SC_integrator/SC_integrator.gds
2026-05-25 19:30:15 +0200: Memory Usage (431184K) : Ruby Version for klayout: 3.0.2
2026-05-25 19:30:15 +0200: Memory Usage (432336K) : Loading database to memory is complete.
2026-05-25 19:30:15 +0200: Memory Usage (432336K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/Delta-sigma-adc/gds/SC_integrator/drc_run_SC_integrator/SC_integrator_SC_integrator_main.lyrdb
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : Evaluate switches.
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : tables selected: main
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : KLayout will use 1 thread(s) in tiling mode.
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : deep mode is enabled.
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : FEOL enabled: true
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : BEOL enabled: true
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : OFFGRID enabled: true
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : PIN enabled: true
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : FORBIDDEN enabled: true
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : RECOMMENDED enabled: true
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : PreCheck DRC enabled: false
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : CONNECTIVITY_RULES enabled: true.
2026-05-25 19:30:15 +0200: Memory Usage (432464K) : Read in polygons from layers.
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : activ_drw has 139 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : activ_pin has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : activ_mask has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : activ_filler has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : activ_nofill has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : activ_opc has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : activ_iopc has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : activ_noqrc has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : biwind_drw has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : biwind_opc has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : pemwind_drw has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : gatpoly_drw has 199 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : gatpoly_pin has 12 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : gatpoly_filler has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : gatpoly_nofill has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : gatpoly_opc has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : gatpoly_iopc has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433104K) : gatpoly_noqrc has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433232K) : cont_drw has 3062 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433232K) : cont_opc has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433232K) : nsd_drw has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433232K) : nsd_block has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433232K) : metal1_drw has 375 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433232K) : metal1_pin has 31 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433232K) : metal1_mask has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433360K) : metal1_filler has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433360K) : metal1_nofill has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433360K) : metal1_slit has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433488K) : metal1_text has 3 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433488K) : metal1_opc has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433744K) : metal1_noqrc has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433744K) : metal1_res has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433744K) : metal1_iprobe has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433744K) : metal1_diffprb has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433744K) : passiv_drw has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433744K) : passiv_pin has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433744K) : passiv_sbump has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433872K) : passiv_pillar has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433872K) : passiv_pdl has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (433872K) : metal2_drw has 117 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434000K) : metal2_pin has 7 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434000K) : metal2_mask has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434000K) : metal2_filler has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434128K) : metal2_nofill has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434128K) : metal2_slit has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434128K) : metal2_text has 7 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434256K) : metal2_opc has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434256K) : metal2_noqrc has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434256K) : metal2_res has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434384K) : metal2_iprobe has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434384K) : metal2_diffprb has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434384K) : baspoly_drw has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434512K) : baspoly_pin has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434512K) : psd_drw has 18 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434512K) : nldb_drw has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434640K) : digibnd_drw has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434640K) : via1_drw has 252 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434640K) : backmetal1_drw has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434768K) : backmetal1_pin has 0 polygons
2026-05-25 19:30:15 +0200: Memory Usage (434768K) : backmetal1_mask has 0 polygons
