# Logfile created on 2026-05-18 12:16:14 +0200 by logger.rb/v1.4.3
2026-05-18 12:16:14 +0200: Memory Usage (429324K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/Delta-sigma-adc/gds/buffer/buffer.gds
2026-05-18 12:16:14 +0200: Memory Usage (429324K) : Ruby Version for klayout: 3.0.2
2026-05-18 12:16:14 +0200: Memory Usage (430220K) : Loading database to memory is complete.
2026-05-18 12:16:14 +0200: Memory Usage (430220K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/Delta-sigma-adc/gds/buffer/drc_run_buffer/buffer_buffer_main.lyrdb
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : Evaluate switches.
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : tables selected: main
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : KLayout will use 1 thread(s) in tiling mode.
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : deep mode is enabled.
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : FEOL enabled: true
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : BEOL enabled: true
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : OFFGRID enabled: true
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : PIN enabled: true
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : FORBIDDEN enabled: true
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : RECOMMENDED enabled: false
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : PreCheck DRC enabled: false
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : CONNECTIVITY_RULES enabled: true.
2026-05-18 12:16:14 +0200: Memory Usage (430348K) : Read in polygons from layers.
2026-05-18 12:16:14 +0200: Memory Usage (431116K) : activ_drw has 28 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431116K) : activ_pin has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431116K) : activ_mask has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431116K) : activ_filler has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431116K) : activ_nofill has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431116K) : activ_opc has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431116K) : activ_iopc has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431116K) : activ_noqrc has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431116K) : biwind_drw has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431116K) : biwind_opc has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431116K) : pemwind_drw has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : gatpoly_drw has 26 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : gatpoly_pin has 2 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : gatpoly_filler has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : gatpoly_nofill has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : gatpoly_opc has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : gatpoly_iopc has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : gatpoly_noqrc has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : cont_drw has 76 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : cont_opc has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : nsd_drw has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : nsd_block has 0 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : metal1_drw has 53 polygons
2026-05-18 12:16:14 +0200: Memory Usage (431628K) : metal1_pin has 7 polygons
