# Logfile created on 2026-05-25 20:10:46 +0200 by logger.rb/v1.4.3
2026-05-25 20:10:46 +0200: Memory Usage (430748K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/Delta-sigma-adc/gds/first_order_modulator/first_order_modulator.gds
2026-05-25 20:10:46 +0200: Memory Usage (430748K) : Ruby Version for klayout: 3.0.2
2026-05-25 20:10:46 +0200: Memory Usage (431772K) : Loading database to memory is complete.
2026-05-25 20:10:46 +0200: Memory Usage (431772K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/Delta-sigma-adc/gds/first_order_modulator/drc_run_first_order_modulator/first_order_modulator_first_order_modulator_main.lyrdb
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : Evaluate switches.
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : tables selected: main
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : KLayout will use 1 thread(s) in tiling mode.
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : deep mode is enabled.
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : FEOL enabled: true
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : BEOL enabled: true
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : OFFGRID enabled: true
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : PIN enabled: true
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : FORBIDDEN enabled: true
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : RECOMMENDED enabled: true
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : PreCheck DRC enabled: false
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : CONNECTIVITY_RULES enabled: true.
2026-05-25 20:10:46 +0200: Memory Usage (431900K) : Read in polygons from layers.
2026-05-25 20:10:46 +0200: Memory Usage (432668K) : activ_drw has 229 polygons
2026-05-25 20:10:46 +0200: Memory Usage (432668K) : activ_pin has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (432668K) : activ_mask has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (432668K) : activ_filler has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (432668K) : activ_nofill has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (432668K) : activ_opc has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (432668K) : activ_iopc has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (432668K) : activ_noqrc has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (432668K) : biwind_drw has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (432668K) : biwind_opc has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (432668K) : pemwind_drw has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433180K) : gatpoly_drw has 269 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433180K) : gatpoly_pin has 23 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433180K) : gatpoly_filler has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433180K) : gatpoly_nofill has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433180K) : gatpoly_opc has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433180K) : gatpoly_iopc has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433180K) : gatpoly_noqrc has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433308K) : cont_drw has 4018 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433308K) : cont_opc has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433308K) : nsd_drw has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433308K) : nsd_block has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433308K) : metal1_drw has 574 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433308K) : metal1_pin has 52 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433436K) : metal1_mask has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433436K) : metal1_filler has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433436K) : metal1_nofill has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433436K) : metal1_slit has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433692K) : metal1_text has 8 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433948K) : metal1_opc has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433948K) : metal1_noqrc has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433948K) : metal1_res has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433948K) : metal1_iprobe has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433948K) : metal1_diffprb has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (433948K) : passiv_drw has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434076K) : passiv_pin has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434076K) : passiv_sbump has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434076K) : passiv_pillar has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434204K) : passiv_pdl has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434204K) : metal2_drw has 167 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434204K) : metal2_pin has 10 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434204K) : metal2_mask has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434332K) : metal2_filler has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434332K) : metal2_nofill has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434332K) : metal2_slit has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434460K) : metal2_text has 10 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434460K) : metal2_opc has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434460K) : metal2_noqrc has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434588K) : metal2_res has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434588K) : metal2_iprobe has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434588K) : metal2_diffprb has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434716K) : baspoly_drw has 0 polygons
2026-05-25 20:10:46 +0200: Memory Usage (434716K) : baspoly_pin has 0 polygons
