# Logfile created on 2026-05-25 11:43:11 +0200 by logger.rb/v1.4.3
2026-05-25 11:43:11 +0200: Memory Usage (428884K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/Delta-sigma-adc/gds/switched_capacitor/switched_capacitor.gds
2026-05-25 11:43:11 +0200: Memory Usage (428884K) : Ruby Version for klayout: 3.0.2
2026-05-25 11:43:11 +0200: Memory Usage (429780K) : Loading database to memory is complete.
2026-05-25 11:43:11 +0200: Memory Usage (429780K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/Delta-sigma-adc/gds/switched_capacitor/drc_run_switched_capacitor/switched_capacitor_switched_capacitor_main.lyrdb
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : Evaluate switches.
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : tables selected: main
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : KLayout will use 1 thread(s) in tiling mode.
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : deep mode is enabled.
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : FEOL enabled: true
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : BEOL enabled: true
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : OFFGRID enabled: true
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : PIN enabled: true
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : FORBIDDEN enabled: true
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : RECOMMENDED enabled: true
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : PreCheck DRC enabled: false
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : CONNECTIVITY_RULES enabled: true.
2026-05-25 11:43:11 +0200: Memory Usage (429908K) : Read in polygons from layers.
2026-05-25 11:43:11 +0200: Memory Usage (430676K) : activ_drw has 32 polygons
2026-05-25 11:43:11 +0200: Memory Usage (430676K) : activ_pin has 0 polygons
2026-05-25 11:43:11 +0200: Memory Usage (430676K) : activ_mask has 0 polygons
2026-05-25 11:43:11 +0200: Memory Usage (430676K) : activ_filler has 0 polygons
2026-05-25 11:43:11 +0200: Memory Usage (430676K) : activ_nofill has 0 polygons
